"ER_NAICS_THREE_DIGITS","DESC","DESC_SIMPLIFIED","TOTAL_INDUSTRY_EMPLOYMENT"
813,"Religious organizations + Civic, social, advocacy organizations, and grantmaking and giving services + Labor unions + Business, professional, political, and similar organizations","Religious, advocacy, business and professional organizations, unions",2800691
928,"National security and international affairs + U. S. Army + U. S. Air Force + U. S. Navy + U. S. Marines + U. S. Coast Guard + Armed Forces, Branch not specified + Military Reserves or National Guard","Military and national security",2493133
221,"Electric power generation, transmission and distribution + Natural gas distribution + Electric and gas, and other combinations + Water, steam, air-conditioning, and irrigation systems + Sewage treatment facilities","Electricity generation, natural gas distribution, sewage treatment facilities",1458270
451,"Sporting goods, and hobby and toy stores + Sewing, needlework, and piece goods stores + Musical instrument and supplies stores + Book stores and news dealers","Sporting goods, sewing, musical instrument and book stores",825337
444,"Building material and supplies dealers + Hardware stores + Lawn and garden equipment and supplies stores","Hardware, lawn and garden stores",1829372
921,"Executive offices and legislative bodies + Public finance activities + Other general government and support + Justice, public order, and safety activities","Government agencies and legislatures",5294402
712,"Museums, art galleries, historical sites, and similar institutions","Museums, art galleries, historical sites",582472
925,"Administration of environmental quality and housing programs","Administration of environmental quality and housing programs",307564
924,"Administration of environmental quality and housing programs","Environmental quality and housing programs",307564
482,"Rail transportation","Environmental quality and housing programs",296616
212,"Coal mining + Metal ore mining + Nonmetallic mineral mining and quarrying","Coal, metal ore mining",262382
922,"Justice, public order, and safety activities","Justice, public order",3339128
486,"Pipeline transportation","Pipeline transportation",70579
113,"Forestry except logging + Logging","Forestry and logging",177065
